date,consignee,consignee_country,shipper,shipper_country,shipment_origin,shipment_destination,port_of_lading,port_of_lading_country,port_of_unlading_country,transport_method,goods_shipped,parcel_size_mt,weight,parcel_bin_2
2020-12-16T00:00:00Z,Ocean Partners Usa Inc.,United States,Minera Igmar Sa De Cv,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,186.304,0 - 2500
2020-12-15T00:00:00Z,Young Poong,South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,12500,10000 - 12500
2020-12-12T00:00:00Z,Teck Metals Ltd.,Canada,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,Canada,Maritime,CONCENTRADO DE ZINC,>7000t,11002.25,10000 - 12500
2020-12-12T00:00:00Z,"Korea Z Inc. Co., Ltd.",South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,10550.69,10000 - 12500
2020-12-08T00:00:00Z,Ocean Partners Usa Inc.,United States,Minera Igmar Sa De Cv,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,222.845,0 - 2500
2020-11-30T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,<4000t,337.46,0 - 2500
2020-11-28T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5211.7,5000 - 7500
2020-11-27T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Mapa Transportes S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,<4000t,295.04,0 - 2500
2020-11-27T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Consorcio Minero De Mexico Cormin Mex Sa De Cv,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,>7000t,9579.189,7500 - 10000
2020-11-26T00:00:00Z,Young Poong,South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,11501.26,10000 - 12500
2020-11-26T00:00:00Z,Ocean Partners Usa Inc.,United States,Operaciones San Jose De Plata S. De R.L. De C.V.,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,3115.89,2500 - 5000
2020-11-25T00:00:00Z,"Korea Z Inc. Co., Ltd.",South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,11501.06,10000 - 12500
2020-11-24T00:00:00Z,"Samsung Sds Co., Ltd.",NA,Qssc Sa De Cv,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,834.34,0 - 2500
2020-11-21T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5615.94,5000 - 7500
2020-11-11T00:00:00Z,Ocean Partners Usa Inc.,United States,Minera Igmar Sa De Cv,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,222.5,0 - 2500
2020-11-05T00:00:00Z,Trafigura Trading Llc,United States,Z Inc. International S.A.,Mexico,Mexico,United States,Altamira (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,408.99,0 - 2500
2020-11-04T00:00:00Z,Ocean Partners Usa Inc.,United States,Mk Metal Trading Mexico S.A. De C.V.,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,221.206,0 - 2500
2020-11-03T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,<4000t,1500.01,0 - 2500
2020-10-31T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,>7000t,9514.06,7500 - 10000
2020-10-31T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,505.98,0 - 2500
2020-10-27T00:00:00Z,Boliden Commercial Ab,Sweden,Z Inc. International S.A.,Mexico,Mexico,Finland,Altamira (MX),Mexico,Sweden,Maritime,CONCENTRADO DE ZINC,<4000t,101.21,0 - 2500
2020-10-26T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,4287.54,2500 - 5000
2020-10-26T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,1386.05,0 - 2500
2020-10-23T00:00:00Z,Glencore International Ag,Switzerland,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,9901.13,7500 - 10000
2020-10-23T00:00:00Z,Transamine Trading S.A,Switzerland,Z Inc. International S.A.,Mexico,Mexico,Peru,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,647.73,0 - 2500
2020-10-22T00:00:00Z,Hong Kong Tri Union Resources Ltd.,Hong Kong,Metco Trading S.A. De C.V.,Mexico,Mexico,China,Manzanillo (MX),Mexico,Hong Kong,Maritime,CONCENTRADO DE ZINC,<4000t,505.13,0 - 2500
2020-10-20T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,490.95,0 - 2500
2020-10-20T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,1222.31,0 - 2500
2020-10-20T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,3180.12,2500 - 5000
2020-10-20T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5046.09,5000 - 7500
2020-10-20T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,586.31,0 - 2500
2020-10-20T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,68.13,0 - 2500
2020-10-20T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,229.89,0 - 2500
2020-10-16T00:00:00Z,Young Poong,South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,10677.01,10000 - 12500
2020-10-16T00:00:00Z,"Korea Z Inc. Co., Ltd.",South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,10678.41,10000 - 12500
2020-10-03T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,<4000t,630,0 - 2500
2020-10-03T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,4937.29,2500 - 5000
2020-09-29T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,509.56,0 - 2500
2020-09-28T00:00:00Z,Transamine Trading S.A,Switzerland,Transamine Trading De Mexico Sa De Cv,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,286.46,0 - 2500
2020-09-26T00:00:00Z,Glencore International Ag,Switzerland,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,11000.58,10000 - 12500
